## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657872.insert_size.pdf INPUT=bam/SRR7657872.sorted.bam OUTPUT=bam/SRR7657872.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
260	247	39	143	174699361	260.961609	63.626485	28120421	FR	15	31	45	61	79	101	129	171	599	3249	19835			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
143	4
144	4
145	13
146	34
147	67
148	102
149	373
150	24413
151	38173
152	38790
153	39379
154	40192
155	41214
156	41901
157	42640
158	43432
159	44376
160	39293
161	40201
162	41462
163	42738
164	43916
165	45996
166	46920
167	48170
168	49924
169	50983
170	52772
171	54568
172	55867
173	57541
174	59341
175	60735
176	62869
177	64513
178	66995
179	68399
180	70423
181	72820
182	74425
183	76631
184	79031
185	81273
186	82718
187	84979
188	87291
189	89807
190	93031
191	95075
192	96815
193	99062
194	101319
195	104457
196	107196
197	109210
198	111966
199	115387
200	117205
201	120582
202	122640
203	125171
204	127323
205	131185
206	133708
207	135799
208	139766
209	143218
210	144874
211	147252
212	150934
213	152535
214	154787
215	157032
216	159409
217	163872
218	166198
219	166232
220	170014
221	171985
222	173918
223	178666
224	179855
225	181318
226	182927
227	186854
228	186025
229	189279
230	190281
231	190456
232	193803
233	194862
234	195492
235	198269
236	197707
237	198111
238	199596
239	200030
240	201985
241	203469
242	204294
243	201443
244	203505
245	202804
246	203266
247	204777
248	203500
249	202452
250	203111
251	203581
252	202270
253	202403
254	201893
255	201264
256	200847
257	198548
258	196981
259	196970
260	195035
261	194788
262	193781
263	193819
264	190678
265	189366
266	188209
267	187074
268	185809
269	184948
270	181992
271	180775
272	177278
273	176534
274	174884
275	172430
276	169393
277	168235
278	166351
279	163911
280	163358
281	159660
282	157843
283	155844
284	154210
285	151854
286	150313
287	146969
288	145295
289	143620
290	142207
291	137723
292	137231
293	134512
294	131585
295	130355
296	126959
297	124672
298	123116
299	120008
300	116974
301	115588
302	112418
303	109327
304	107353
305	105058
306	102900
307	100162
308	98783
309	96311
310	94095
311	91855
312	88041
313	87455
314	85016
315	83005
316	81577
