## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[bam/SRR7657875.sorted.bam] OUTPUT=bam/SRR7657875.mkdup.bam METRICS_FILE=bam/SRR7657875.mkdup_metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 14:58:53 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2476207	31259258	4411426	4066951	1862993	7150857	0	0.248708	57448958

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	19838699	19838699
2.0	1.580351	3227831	3227831
3.0	1.917158	616517	616517
4.0	2.112625	181685	181685
5.0	2.226064	79479	79479
6.0	2.291898	44020	44020
7.0	2.330105	27285	27285
8.0	2.352279	18216	18216
9.0	2.365147	13295	13295
10.0	2.372615	9905	9905
11.0	2.37695	7628	7628
12.0	2.379465	5837	5837
13.0	2.380925	4730	4730
14.0	2.381772	3948	3948
15.0	2.382264	3234	3234
16.0	2.382549	2683	2683
17.0	2.382715	2308	2308
18.0	2.382811	1937	1937
19.0	2.382866	1738	1738
20.0	2.382899	1407	1407
21.0	2.382918	1211	1211
22.0	2.382928	1107	1107
23.0	2.382935	1021	1021
24.0	2.382938	892	892
25.0	2.382941	809	809
26.0	2.382942	728	728
27.0	2.382943	636	636
28.0	2.382943	642	642
29.0	2.382943	573	573
30.0	2.382943	518	518
31.0	2.382943	442	442
32.0	2.382943	396	396
33.0	2.382943	385	385
34.0	2.382944	324	324
35.0	2.382944	321	321
36.0	2.382944	287	287
37.0	2.382944	293	293
38.0	2.382944	270	270
39.0	2.382944	228	228
40.0	2.382944	221	221
41.0	2.382944	199	199
42.0	2.382944	198	198
43.0	2.382944	207	207
44.0	2.382944	180	180
45.0	2.382944	147	147
46.0	2.382944	145	145
47.0	2.382944	172	172
48.0	2.382944	141	141
49.0	2.382944	132	132
50.0	2.382944	134	134
51.0	2.382944	113	113
52.0	2.382944	109	109
53.0	2.382944	100	100
54.0	2.382944	97	97
55.0	2.382944	93	93
56.0	2.382944	80	80
57.0	2.382944	80	80
58.0	2.382944	86	86
59.0	2.382944	79	79
60.0	2.382944	79	79
61.0	2.382944	75	75
62.0	2.382944	64	64
63.0	2.382944	50	50
64.0	2.382944	54	54
65.0	2.382944	54	54
66.0	2.382944	66	66
67.0	2.382944	60	60
68.0	2.382944	47	47
69.0	2.382944	48	48
70.0	2.382944	47	47
71.0	2.382944	42	42
72.0	2.382944	34	34
73.0	2.382944	35	35
74.0	2.382944	30	30
75.0	2.382944	31	31
76.0	2.382944	37	37
77.0	2.382944	36	36
78.0	2.382944	34	34
79.0	2.382944	31	31
80.0	2.382944	35	35
81.0	2.382944	25	25
82.0	2.382944	26	26
83.0	2.382944	24	24
84.0	2.382944	26	26
85.0	2.382944	21	21
86.0	2.382944	37	37
87.0	2.382944	25	25
88.0	2.382944	27	27
89.0	2.382944	12	12
90.0	2.382944	17	17
91.0	2.382944	17	17
92.0	2.382944	21	21
93.0	2.382944	22	22
94.0	2.382944	18	18
95.0	2.382944	17	17
96.0	2.382944	17	17
97.0	2.382944	18	18
98.0	2.382944	21	21
99.0	2.382944	26	26
100.0	2.382944	25	25
101.0	0	9	9
102.0	0	18	18
103.0	0	15	15
104.0	0	19	19
105.0	0	15	15
106.0	0	11	11
107.0	0	12	12
108.0	0	12	12
109.0	0	13	13
110.0	0	14	14
111.0	0	12	12
112.0	0	11	11
113.0	0	6	6
114.0	0	9	9
115.0	0	15	15
116.0	0	11	11
117.0	0	13	13
118.0	0	6	6
119.0	0	11	11
120.0	0	10	10
121.0	0	7	7
122.0	0	10	10
123.0	0	7	7
124.0	0	8	8
125.0	0	9	9
126.0	0	9	9
127.0	0	9	9
128.0	0	9	9
129.0	0	9	9
130.0	0	11	11
131.0	0	6	6
132.0	0	9	9
133.0	0	10	10
134.0	0	7	7
135.0	0	6	6
136.0	0	8	8
137.0	0	8	8
138.0	0	10	10
139.0	0	6	6
140.0	0	8	8
141.0	0	6	6
142.0	0	5	5
143.0	0	5	5
144.0	0	6	6
145.0	0	6	6
146.0	0	2	2
147.0	0	9	9
148.0	0	8	8
149.0	0	5	5
150.0	0	6	6
151.0	0	4	4
152.0	0	6	6
153.0	0	5	5
155.0	0	4	4
156.0	0	7	7
157.0	0	5	5
158.0	0	5	5
159.0	0	6	6
160.0	0	5	5
161.0	0	6	6
162.0	0	9	9
163.0	0	6	6
164.0	0	6	6
165.0	0	3	3
166.0	0	4	4
167.0	0	5	5
168.0	0	1	1
169.0	0	4	4
170.0	0	1	1
171.0	0	5	5
172.0	0	3	3
173.0	0	4	4
174.0	0	1	1
175.0	0	2	2
176.0	0	2	2
177.0	0	3	3
179.0	0	2	2
180.0	0	3	3
181.0	0	3	3
182.0	0	2	2
183.0	0	3	3
184.0	0	3	3
187.0	0	6	6
188.0	0	3	3
189.0	0	5	5
190.0	0	3	3
191.0	0	1	1
192.0	0	3	3
193.0	0	2	2
194.0	0	3	3
195.0	0	3	3
196.0	0	2	2
197.0	0	1	1
198.0	0	3	3
199.0	0	3	3
200.0	0	6	6
201.0	0	2	2
202.0	0	2	2
203.0	0	2	2
204.0	0	5	5
205.0	0	3	3
206.0	0	2	2
207.0	0	4	4
209.0	0	1	1
210.0	0	1	1
212.0	0	1	1
213.0	0	3	3
214.0	0	1	1
218.0	0	4	4
219.0	0	1	1
220.0	0	3	3
221.0	0	2	2
222.0	0	1	1
223.0	0	3	3
225.0	0	2	2
226.0	0	2	2
229.0	0	2	2
230.0	0	2	2
234.0	0	1	1
235.0	0	1	1
236.0	0	2	2
237.0	0	2	2
238.0	0	2	2
239.0	0	1	1
241.0	0	1	1
242.0	0	1	1
244.0	0	2	2
247.0	0	2	2
248.0	0	1	1
250.0	0	4	4
253.0	0	1	1
256.0	0	1	1
257.0	0	3	3
258.0	0	1	1
261.0	0	1	1
262.0	0	2	2
263.0	0	1	1
264.0	0	1	1
265.0	0	1	1
268.0	0	2	2
269.0	0	1	1
270.0	0	1	1
273.0	0	1	1
274.0	0	1	1
279.0	0	2	2
280.0	0	1	1
285.0	0	1	1
286.0	0	1	1
289.0	0	1	1
290.0	0	1	1
291.0	0	1	1
292.0	0	2	2
293.0	0	1	1
295.0	0	1	1
296.0	0	1	1
297.0	0	1	1
299.0	0	1	1
306.0	0	1	1
307.0	0	2	2
314.0	0	1	1
315.0	0	1	1
316.0	0	1	1
321.0	0	1	1
328.0	0	1	1
331.0	0	1	1
336.0	0	1	1
338.0	0	2	2
339.0	0	1	1
343.0	0	1	1
347.0	0	2	2
349.0	0	1	1
351.0	0	1	1
360.0	0	1	1
365.0	0	1	1
366.0	0	1	1
370.0	0	3	3
375.0	0	1	1
378.0	0	1	1
390.0	0	1	1
414.0	0	1	1
426.0	0	1	1
432.0	0	1	1
439.0	0	1	1
441.0	0	1	1
444.0	0	1	1
446.0	0	1	1
481.0	0	1	1
482.0	0	2	2
487.0	0	1	1
488.0	0	2	2
523.0	0	1	1
582.0	0	1	1
589.0	0	1	1
590.0	0	1	1
632.0	0	1	1
689.0	0	1	1
755.0	0	1	1
839.0	0	1	1
847.0	0	1	1
899.0	0	1	1
993.0	0	1	1
1074.0	0	1	1

