## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Mus_musculus.GRCm38.102.txt STRAND_SPECIFICITY=NONE INPUT=bam/SRR7657881.sorted.bam OUTPUT=bam/SRR7657881.RNA_metrics.txt    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 16:47:02 GMT 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
10061171700	9424771432		4690405692	3653544599	837796478	243024663	0	0	0	11544592	11554401	1583042	0.499788	0.500212		0.497668	0.387653	0.088893	0.025786	0.885321	0.829322	0	0.438965	0.412518	0.45197	0.763434			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.231415
1	0.276208
2	0.341092
3	0.407904
4	0.473783
5	0.538651
6	0.598319
7	0.657182
8	0.710516
9	0.755697
10	0.795155
11	0.822755
12	0.858314
13	0.879024
14	0.902278
15	0.928959
16	0.953999
17	0.973616
18	0.985217
19	0.997858
20	1.014559
21	1.024687
22	1.036053
23	1.047847
24	1.061038
25	1.072148
26	1.089199
27	1.100239
28	1.103069
29	1.103136
30	1.10674
31	1.114556
32	1.118994
33	1.132542
34	1.144368
35	1.149382
36	1.154113
37	1.161244
38	1.165951
39	1.170231
40	1.175283
41	1.182234
42	1.192254
43	1.195797
44	1.199685
45	1.196022
46	1.192271
47	1.190227
48	1.186163
49	1.181554
50	1.183772
51	1.18258
52	1.188031
53	1.188532
54	1.187825
55	1.188433
56	1.188051
57	1.186482
58	1.18367
59	1.1877
60	1.188158
61	1.183925
62	1.181078
63	1.179195
64	1.183971
65	1.183368
66	1.177238
67	1.171577
68	1.162668
69	1.154881
70	1.148401
71	1.142947
72	1.140152
73	1.134074
74	1.131866
75	1.131284
76	1.121978
77	1.109103
78	1.098818
79	1.086993
80	1.067834
81	1.051306
82	1.035796
83	1.017824
84	1.011968
85	1.000496
86	0.985547
87	0.962401
88	0.934423
89	0.900368
90	0.876818
91	0.849117
92	0.819388
93	0.784255
94	0.741491
95	0.693453
96	0.646398
97	0.595981
98	0.542827
99	0.492957
100	0.451689

