## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657893.insert_size.pdf INPUT=bam/SRR7657893.sorted.bam OUTPUT=bam/SRR7657893.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021
# This is a fake metrics file for the sake of having some bad QC

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
120	114	39	142	157955426	266.616654	64.549677	13280632	FR	15	29	45	61	79	101	129	173	593	3349	19751	NA	NA	NA

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
142	3
143	7
144	27
145	178
146	24286
147	30788
148	32559
149	33848
150	33151
151	32941
152	35477
153	38530
154	41213
155	43936
156	47985
157	51364
158	55113
159	58868
160	62024
161	67519
162	72487
163	76759
164	82206
165	86760
166	93075
167	99080
168	105088
169	111336
170	116512
171	123557
172	132098
173	137380
174	144061
175	149044
176	157164
177	163769
178	170002
179	176571
180	182888
181	187611
182	191856
183	196918
184	200429
185	203206
186	207012
187	210916
188	211128
189	212104
190	213192
191	214374
192	214799
193	214757
194	212257
195	210158
196	207949
197	208187
198	204113
199	201684
200	198165
201	193856
202	190471
203	186297
204	180957
205	175026
206	171156
207	168198
208	163281
209	157293
210	152156
211	147538
212	141677
213	136943
214	129538
215	123387
216	117745
217	112944
218	108058
219	101088
220	95270
221	91982
222	87374
223	83088
224	78074
225	73407
226	69916
227	66150
228	62620
229	59094
230	55861
231	52796
232	50024
233	47204
234	43801
235	41914
236	39969
237	37764
238	35425
239	33191
240	31596
241	30015
242	28165
243	26637
244	24968
245	23871
246	22652
247	21433
248	19879
249	18918
250	17943
251	17255
252	16176
253	15239
254	14695
255	13996
256	13420
257	12719
258	12181
259	10849
260	10227
261	9924
262	9304
263	8951
264	8555
265	8395
266	7914
267	7721
268	7214
269	6888
270	6894
271	6488
272	6236
273	5983
274	5769
275	5684
276	5456
277	5326
278	5195
279	5048
280	4933
281	4740
282	4718
283	4631
284	4543
285	4476
286	4289
287	4173
288	4018
289	4054
290	3834
291	3825
292	3624
293	3673
294	3584
295	3503
296	3484
297	3364
298	3327
299	3282
300	3219
301	3205
302	3125
303	3067
304	2923
305	3028
306	2902
307	2904
308	2941
309	2819
310	2746
311	2671
312	2713
313	2629
314	2597
315	2633
316	2574
317	2481
318	2468
319	2468
320	2407
321	2383
322	2307
323	2278
324	2287
325	2246
326	2293
327	2259
328	2299
329	2173
330	2237
331	2230
332	2245
333	2116
334	2118
335	2014
336	2077
337	2072
338	2028
339	2029
340	1962
341	2029
342	1955
343	1998
344	2018
345	1966
346	1835
347	1920
348	1904
349	1955
350	1952
351	1902
352	1888
353	1908
354	1937
355	1837
356	1835
357	1919
358	1804
359	1875
360	1935
361	1898
362	1831
363	1767
364	1834
365	1835
366	1845
367	1819
368	1858
369	1838
370	1785
371	1842
372	1756
373	1895
374	1758
375	1758
376	1716
377	1671
378	1641
379	1623
380	1574
381	1522
382	1518
383	1459
384	1422
385	1404
386	1361
387	1314
388	1315
389	1292
390	1244
391	1216
392	1199
393	1172
394	1144
395	1128
396	1105
397	1059
398	1067
399	1035
400	950
401	922
402	892
403	873
404	868
405	845
406	835
407	786
408	787
409	781
410	764
411	731
412	746
413	724
414	724
415	689
416	677
417	664
418	668
419	666
420	627
421	618
422	595
423	594
424	599
425	591
426	568
427	552
428	555
429	531
430	527
431	518
432	514
433	508
434	487
435	491
436	490
437	475
438	478
439	459
440	456
441	463
442	457
443	440
444	430
445	441
446	419
447	432
448	410
449	414
450	402
451	420
452	394
453	409
454	390
455	394
456	390
457	387
458	385
459	374
460	372
461	364
462	360
463	360
464	351
465	342
466	359
467	341
468	333
469	329
470	332
471	327
472	331
473	317
474	308
475	316
476	318
477	308
478	311
479	307
480	297
481	308
482	297
483	297
484	283
485	297
486	283
487	291
488	286
489	280
490	277
491	275
492	281
493	276
494	277
495	279
496	260
497	271
498	258
499	256
500	249
501	258
502	258
503	268
504	250
505	251
506	253
507	249
508	252
509	255
510	251
511	235
512	239
513	240
514	231
515	232
516	229
517	239
518	229
519	231
520	222
521	227
522	221
523	225
524	224
525	232
526	223
527	221
528	218
529	210
530	214
531	212
532	213
533	213
534	209
535	209
536	205
537	213
538	199
539	204
540	195
541	202
542	192
543	198
544	194
545	200
546	189
547	199
548	200
549	196
550	198
551	192
552	201
553	196
554	186
555	189
556	187
557	195
558	191
559	190
560	194
561	202
562	185
563	182
564	183
565	184
566	183
567	181
568	179
569	168
570	186
571	173
572	174
573	183
