## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[bam/SRR7657893.sorted.bam] OUTPUT=bam/SRR7657893.mkdup.bam METRICS_FILE=bam/SRR7657893.mkdup_metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 14:58:53 GMT 2021
# This is a fake metrics file for the sake of having some bad QC

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	923248	12819008	NA	35209118	647869	2801529	0	0.23534	NA

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	17620577	17620577
2.0	1.587074	2859782	2859782
3.0	1.93173	522439	522439
4.0	2.134069	145963	145963
5.0	2.252857	62475	62475
6.0	2.322594	34602	34602
7.0	2.363535	21824	21824
8.0	2.387571	14909	14909
9.0	2.401681	10727	10727
10.0	2.409965	8116	8116
11.0	2.414828	6276	6276
12.0	2.417683	5082	5082
13.0	2.41936	4049	4049
14.0	2.420344	3264	3264
15.0	2.420921	2768	2768
16.0	2.421261	2363	2363
17.0	2.42146	2012	2012
18.0	2.421577	1709	1709
19.0	2.421645	1474	1474
20.0	2.421685	1433	1433
21.0	2.421709	1140	1140
22.0	2.421723	1016	1016
23.0	2.421731	874	874
24.0	2.421736	845	845
25.0	2.421739	722	722
26.0	2.42174	654	654
27.0	2.421741	579	579
28.0	2.421742	518	518
29.0	2.421742	503	503
30.0	2.421742	484	484
31.0	2.421743	411	411
32.0	2.421743	406	406
33.0	2.421743	356	356
34.0	2.421743	333	333
35.0	2.421743	314	314
36.0	2.421743	259	259
37.0	2.421743	271	271
38.0	2.421743	225	225
39.0	2.421743	253	253
40.0	2.421743	230	230
41.0	2.421743	219	219
42.0	2.421743	186	186
43.0	2.421743	158	158
44.0	2.421743	169	169
45.0	2.421743	155	155
46.0	2.421743	151	151
47.0	2.421743	126	126
48.0	2.421743	142	142
49.0	2.421743	115	115
50.0	2.421743	114	114
51.0	2.421743	117	117
52.0	2.421743	107	107
53.0	2.421743	93	93
54.0	2.421743	84	84
55.0	2.421743	84	84
56.0	2.421743	66	66
57.0	2.421743	82	82
58.0	2.421743	69	69
59.0	2.421743	62	62
60.0	2.421743	80	80
61.0	2.421743	69	69
62.0	2.421743	68	68
63.0	2.421743	56	56
64.0	2.421743	56	56
65.0	2.421743	64	64
66.0	2.421743	58	58
67.0	2.421743	50	50
68.0	2.421743	39	39
69.0	2.421743	57	57
70.0	2.421743	51	51
71.0	2.421743	53	53
72.0	2.421743	36	36
73.0	2.421743	32	32
74.0	2.421743	31	31
75.0	2.421743	46	46
76.0	2.421743	33	33
77.0	2.421743	35	35
78.0	2.421743	34	34
79.0	2.421743	35	35
80.0	2.421743	34	34
81.0	2.421743	29	29
82.0	2.421743	22	22
83.0	2.421743	34	34
84.0	2.421743	29	29
85.0	2.421743	24	24
86.0	2.421743	24	24
87.0	2.421743	27	27
88.0	2.421743	21	21
89.0	2.421743	23	23
90.0	2.421743	20	20
91.0	2.421743	32	32
92.0	2.421743	23	23
93.0	2.421743	24	24
94.0	2.421743	20	20
95.0	2.421743	24	24
96.0	2.421743	19	19
97.0	2.421743	13	13
98.0	2.421743	9	9
99.0	2.421743	15	15
100.0	2.421743	17	17
101.0	0	16	16
102.0	0	16	16
103.0	0	15	15
104.0	0	13	13
105.0	0	11	11
106.0	0	10	10
107.0	0	13	13
108.0	0	11	11
109.0	0	10	10
110.0	0	23	23
111.0	0	13	13
112.0	0	10	10
113.0	0	13	13
114.0	0	7	7
115.0	0	17	17
116.0	0	16	16
117.0	0	7	7
118.0	0	10	10
119.0	0	11	11
120.0	0	12	12
121.0	0	16	16
